fitsSourceFile,fitsKeyName,sqlDestTable,sqlColumnName,arrIndex
,,observations,observation_id,
,,observations,object_id,
raw,simple,observations,simple,
raw,bitpix,observations,bitpix,
raw,naxis,observations,naxis,
raw,naxis1,observations,naxis1,
raw,naxis2,observations,naxis2,
raw,extend,observations,extend,
raw,bzero,observations,bzero,
raw,bscale,observations,bscale,
raw,object,observations,object,
raw,observer,observations,observer,
raw,propid,observations,propid,
raw,obsid,observations,obsid,
raw,imagetyp,observations,imagetyp,
raw,ccdsum,observations,ccdsum,
raw,roireq,observations,roireq,
raw,utshut,observations,utshut,
raw,date,observations,date,
raw,nampsyx,observations,nampsyx,
raw,amplist,observations,amplist,
raw,detector,observations,detector,
raw,fpa,observations,fpa,
raw,rexptime,observations,rexptime,
raw,exptime,observations,exptime,
raw,texptime,observations,texptime,
raw,darktime,observations,darktime,
raw,nimages,observations,nimages,
raw,dheinf,observations,dheinf,
raw,dhefirm,observations,dhefirm,
raw,speedmod,observations,speedmod,
raw,geommod,observations,geommod,
raw,pixtime,observations,pixtime,
raw,powstat,observations,powstat,
raw,fpgafirm,observations,fpgafirm,
raw,slot00,observations,slot00,
raw,slot01,observations,slot01,
raw,slot02,observations,slot02,
raw,slot03,observations,slot03,
raw,slot04,observations,slot04,
raw,slot07,observations,slot07,
raw,panid,observations,panid,
raw,comment,observations,comment,
raw,dhsid,observations,dhsid,
raw,deckpos,observations,deckpos,
raw,decker,observations,decker,
raw,focus,observations,focus,
raw,maxexp,observations,maxexp,
raw,pmhv,observations,pmhv,
raw,complamp,observations,complamp,
raw,iodcell,observations,iodcell,
raw,observat,observations,observat,
raw,telescop,observations,telescop,
raw,date-obs,observations,date_obs,
raw,ut,observations,ut,
raw,ra,observations,obs_ra,
raw,dec,observations,obs_dec,
raw,epoch,observations,epoch,
raw,alt,observations,alt,
raw,ha,observations,ha,
raw,st,observations,st,
raw,zd,observations,zd,
raw,airmass,observations,airmass,
raw,tsec22,ccdsections,tsec22,
raw,asec22,ccdsections,asec22,
raw,csec22,ccdsections,csec22,
raw,bsec22,ccdsections,bsec22,
raw,dsec22,ccdsections,dsec22,
raw,scsec22,ccdsections,scsec22,
raw,tsec12,ccdsections,tsec12,
raw,asec12,ccdsections,asec12,
raw,csec12,ccdsections,csec12,
raw,bsec12,ccdsections,bsec12,
raw,dsec12,ccdsections,dsec12,
raw,scsec12,ccdsections,scsec12,
raw,tsec11,ccdsections,tsec11,
raw,asec11,ccdsections,asec11,
raw,csec11,ccdsections,csec11,
raw,bsec11,ccdsections,bsec11,
raw,dsec11,ccdsections,dsec11,
raw,scsec11,ccdsections,scsec11,
raw,tsec21,ccdsections,tsec21,
raw,asec21,ccdsections,asec21,
raw,csec21,ccdsections,csec21,
raw,bsec21,ccdsections,bsec21,
raw,dsec21,ccdsections,dsec21,
raw,scsec21,ccdsections,scsec21,
raw,gain11,ccdsections,gain11,
raw,ron11,ccdsections,ron11,
raw,gain12,ccdsections,gain12,
raw,ron12,ccdsections,ron12,
raw,gain21,ccdsections,gain21,
raw,ron21,ccdsections,ron21,
raw,gain22,ccdsections,gain22,
raw,ron22,ccdsections,ron22,
raw,ccdtemp,environment,ccdtemp,
raw,necktemp,environment,necktemp,
raw,tempgrat,environment,tempgrat,
raw,temptlow,environment,temptlow,
raw,temptcen,environment,temptcen,
raw,tempstru,environment,tempstru,
raw,tempencl,environment,tempencl,
raw,tempcoud,environment,tempcoud,
raw,tempinst,environment,tempinst,
raw,tempiodin,environment,tempiodin,
raw,dewpress,environment,dewpress,
raw,echpress,environment,echpress,
raw,baromete,environment,baromete,
raw,wthr_id,weather,wthr_id,
raw,weatime,weather,weatime,
raw,weatimejd,weather,weatimejd,
raw,outtemp,weather,outtemp,
raw,outhum,weather,outhum,
raw,outpress,weather,outpress,
raw,wndspeed,weather,wndspeed,
raw,wnddir,weather,wnddir,
raw,see_id,seeing,see_id,
raw,seetime,seeing,seetime,
raw,seetimejd,seeing,seetimejd,
raw,seeing,seeing,seeing,
raw,sairmass,seeing,sairmass,
raw,em_id,exposuremeter,em_id,
raw,emtimopn,exposuremeter,emtimopn,
raw,emtimcls,exposuremeter,emtimcls,
